"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items","propane_used"
46,"campsite","small",16,1,1,8.26697599169725,0,1,1,0,25.0341333435487
47,"backyard","small",13,0,0,11.5245445782118,1,1,1,1,57.8678064343815
48,"backyard","small",20,0,0,8.33468412542187,1,1,1,0,61.378726932029
49,"campsite","small",13,0,0,6.35481731666652,0,1,1,0,55.2763847357074
50,"campsite","large",37,1,0,27.0823611297781,0,1,1,0,49.1955218718482
51,"campsite","small",10,0,0,8.29818182782274,0,1,1,1,54.601220436778
52,"backyard","small",12,0,0,7.02079598966616,1,1,0,1,59.0506642601126
53,"campsite","small",11,0,0,6.67242773399572,1,1,1,0,55.1647658613879
54,"backyard","small",9,1,0,6.35659538445602,1,1,1,0,46.5688215163454
55,"backyard","large",30,1,0,24.1961084234922,1,1,0,0,53.8427576110668
56,"beach","small",19,0,0,14.3138664731427,1,1,0,0,53.8395741023536
57,"backyard","small",15,1,0,8.00499227629821,1,0,0,0,49.782724143888
58,"campsite","large",46,1,0,31.4077663134715,1,1,1,0,47.8965544644371
59,"backyard","small",13,0,0,9.94939245015123,1,1,1,0,58.5586092928068
60,"backyard","small",10,1,0,8.42957860943534,1,1,1,1,45.8254564559488
61,"backyard","small",16,1,0,11.218675945753,1,1,0,0,47.617070464155
62,"campsite","small",15,1,1,11.3542100856813,1,1,0,1,24.9777950838165
63,"campsite","large",45,0,0,34.8268021823701,1,1,1,1,56.5961668695618
64,"backyard","small",6,1,0,2.91904082635985,0,1,1,1,44.0944297251348
65,"backyard","small",11,1,0,7.78537077197534,1,1,0,0,47.1062008803901
66,"campsite","large",44,0,0,31.8613242253591,1,1,1,0,56.1063254371446
67,"campsite","small",10,1,0,7.35589014447347,1,1,1,0,44.2679276901686
68,"backyard","small",11,0,1,4.44478287168172,1,1,0,1,37.2938613389583
69,"beach","small",14,1,0,9.57807089703803,1,1,1,0,43.6828381547203
70,"backyard","small",14,0,0,9.72554307424303,1,1,1,0,59.6259627373106
71,"backyard","small",9,0,0,4.86554801072758,1,1,0,1,55.6560690689677
72,"backyard","small",15,0,0,9.95727245549378,1,1,1,0,58.6208329658479
73,"campsite","large",40,0,0,27.2040990037749,1,1,1,1,56.2506259506647
74,"backyard","small",15,0,0,7.15250890340105,1,1,1,1,59.2009840700018
75,"beach","large",41,0,0,35.1946798480353,1,1,1,1,52.4528242048114
76,"backyard","small",16,1,0,8.04132086059392,1,1,1,0,49.2918302035143
77,"campsite","small",12,1,1,6.32680363332837,1,1,1,0,26.6598116557601
78,"beach","small",15,0,1,10.8547882644058,1,0,0,1,37.758061390599
79,"campsite","small",11,1,0,5.55451075577078,1,1,1,0,46.0191346056409
80,"backyard","small",15,0,0,6.56005639849364,1,1,1,0,59.1778734361841
81,"campsite","small",12,1,0,5.56389312389006,1,1,0,0,45.6064303518299
82,"campsite","large",44,0,0,31.2171591697047,1,1,0,1,57.4562556016113
83,"campsite","large",36,1,0,28.5733494917097,1,1,1,0,46.0846115288351
84,"beach","small",11,0,0,7.72288851422938,1,1,1,1,55.1650488270389
85,"campsite","large",52,1,0,31.9879475943147,1,1,0,0,44.080390704326
86,"campsite","small",12,1,0,9.84329016217735,0,1,0,1,46.3700801229166
87,"campsite","small",13,0,0,12.2761068470004,1,1,0,1,54.1783628794558
88,"backyard","small",13,0,0,8.67989160599133,1,1,1,0,57.72288586051
89,"beach","small",14,0,0,6.1493674038099,1,1,0,0,53.6217165275458
90,"campsite","small",9,0,0,4.99637338485025,1,1,0,0,55.3010343198904
91,"backyard","small",8,1,0,3.22114344091392,0,0,1,0,45.1132333474257
92,"campsite","large",43,1,0,36.1928282664004,1,1,0,0,46.2370885204695
93,"backyard","small",6,0,1,3.33859368925222,1,1,1,0,34.6172150612384
94,"beach","small",12,0,1,8.79885928796302,1,0,1,0,34.866093326216
95,"beach","large",44,0,0,28.8171301535143,1,1,1,0,53.9129708802258
96,"campsite","large",44,0,0,33.311837866857,1,1,0,0,57.8169755666614
97,"campsite","large",53,1,0,40.8704037921121,0,1,0,0,45.4272937759242
98,"backyard","small",11,0,0,7.34012943107887,1,1,1,1,55.565566661926
99,"campsite","small",12,1,0,8.81122544457135,1,1,1,1,45.9787948771059
100,"backyard","small",10,0,0,7.01121838205249,0,0,1,0,57.5605419444937
101,"backyard","small",16,0,0,14.9970068997368,1,1,1,0,58.798843163189
102,"campsite","small",12,1,1,6.42827982107496,1,1,0,0,24.9910391264157
103,"backyard","small",14,0,0,8.46041444254431,0,1,0,0,56.957765462926
104,"backyard","small",8,1,0,6.93685559519566,1,1,0,1,46.1752858588673
105,"campsite","small",18,0,1,15.0659188831202,1,1,1,0,36.3861086775824
106,"backyard","small",18,1,0,10.2993958012523,0,1,0,0,48.2047117273324
107,"beach","small",15,0,1,6.59491977466924,1,1,1,0,33.9816036494023
108,"campsite","large",36,1,0,22.7933804056409,1,0,1,0,52.4404930439458
109,"campsite","small",13,1,0,8.51543207640927,0,1,1,1,44.7641179659127
110,"campsite","small",15,1,0,7.98431554123284,1,1,0,0,47.1760919854583
111,"backyard","large",43,0,0,29.3495636567151,1,0,0,0,70.5784894716193
112,"backyard","small",9,1,0,6.92526714252636,1,1,0,0,45.8785516668441
113,"campsite","small",11,0,0,5.32061432074647,1,1,0,1,54.4384644218146
114,"backyard","small",8,0,0,2.14954621914265,1,1,0,0,56.0972111031693
115,"campsite","small",14,1,0,7.17053324693426,0,1,0,1,47.8278969508429
116,"beach","small",21,0,0,18.6663469650393,1,1,0,1,55.5038250954631
117,"backyard","small",8,0,0,5.49499999941278,0,1,0,0,56.0861757228998
118,"backyard","small",10,0,0,5.50033868107499,1,1,0,0,57.1392321794941
119,"backyard","small",13,1,0,7.21905615662893,1,1,1,0,46.9637371349962
120,"campsite","small",13,0,0,8.88030475042917,1,1,1,0,55.584726434511
121,"backyard","small",9,1,0,4.90777861575416,1,1,1,1,45.7809285050617
122,"backyard","small",10,1,0,9.57163919874084,1,1,0,1,46.6983791782988
123,"backyard","small",13,0,0,7.63209092851577,1,1,0,0,57.2711072256624
124,"backyard","small",15,1,0,6.987422578597,1,1,1,0,50.4577635156927
125,"backyard","small",11,1,0,4.72915592767563,0,0,0,0,49.7134054235218
126,"beach","large",45,1,0,30.2194897718556,1,1,1,0,40.1329218967721
127,"backyard","small",9,0,0,6.75173484102999,1,1,0,0,55.8068527352336
128,"backyard","small",19,1,0,16.831151050224,1,1,1,0,53.6186104843902
129,"beach","large",43,1,0,41.1633280368319,1,1,0,0,41.4866751114127
130,"backyard","small",9,1,0,5.85883581766656,1,1,1,0,47.393043342278
131,"backyard","small",11,1,0,7.00084452050309,1,1,0,1,48.047005638398
132,"backyard","small",9,1,0,6.82458938707594,0,1,1,0,44.2882971102911
133,"backyard","small",16,0,0,11.7806057034968,1,1,1,0,60.1426814213205
134,"backyard","small",10,1,0,6.88032474245543,1,1,1,0,48.1033060065439
135,"backyard","small",13,1,0,6.77233207037331,0,1,0,1,47.4679402023311
136,"campsite","large",47,0,0,29.9617984310297,1,1,1,0,54.1972800041533
137,"backyard","small",6,0,1,2.86539648274095,1,1,0,0,34.7394526836252
138,"backyard","small",16,0,0,10.9949217152778,1,1,0,0,57.4953589435531
139,"campsite","small",10,1,1,6.85441132545869,1,0,1,0,26.0424645638238
140,"backyard","small",10,1,0,4.5768251553773,0,1,0,0,46.6947359470383
141,"campsite","large",32,0,0,27.993330669641,0,1,0,1,56.0017266078885
142,"backyard","small",18,1,1,7.73349146313046,1,1,1,1,28.7154566100186
143,"campsite","large",52,1,0,38.0275793517542,1,1,0,0,44.9543487251876
144,"backyard","large",49,1,0,39.17428969392,1,1,1,0,57.0358088124275
145,"campsite","small",9,0,1,6.70126615788052,1,1,0,0,35.0137774521078
146,"backyard","large",47,0,0,35.5218915479337,1,1,0,1,66.3408985175245
147,"backyard","small",11,1,0,7.4118607002209,1,1,1,0,45.4217864943752
148,"backyard","small",14,1,0,8.74894987063744,1,1,1,1,48.1665292727052
149,"beach","small",13,1,0,11.0987789096658,1,1,1,1,45.7255315628859
150,"campsite","small",10,0,0,6.32164263669373,1,1,0,1,53.0561899650841
151,"campsite","large",46,1,0,27.5713087055215,1,1,1,1,45.154639779289
152,"backyard","small",14,0,0,10.1583996342661,1,1,1,0,57.9343926602632
153,"beach","small",7,1,0,5.69081838038011,1,1,1,0,44.3796514874011
154,"beach","small",13,0,0,8.65352983953687,1,1,0,1,52.640006577888
155,"campsite","large",51,1,1,39.7578270839744,1,1,1,1,25.9143616825296
156,"campsite","small",10,1,0,6.1200525462383,1,1,0,0,43.4192199958203
157,"campsite","small",11,0,0,8.68840695350119,0,1,0,0,52.71166137915
158,"beach","large",35,1,0,28.351821499025,0,0,1,0,48.1962068624315
159,"backyard","small",8,1,0,4.49126088626033,1,1,1,0,46.1232865290593
160,"backyard","small",11,1,1,4.92418401246788,1,0,0,0,27.6068390899727
161,"backyard","small",12,1,0,6.34825675371893,1,1,1,0,47.6140521412621
162,"backyard","small",11,1,0,10.1911565911019,1,1,0,1,46.7267408937605
163,"beach","large",55,0,0,33.5863987815991,0,1,1,0,47.0394202459975
164,"backyard","small",13,0,0,8.73366294286681,0,1,0,1,58.3934691990139
165,"beach","small",10,0,0,7.33607788613042,1,1,1,0,53.3268820435806
166,"backyard","small",13,1,0,9.46681603790765,1,1,1,0,48.9828182351572
167,"backyard","small",15,1,1,12.0040808486463,0,1,1,1,27.9582975992255
168,"backyard","small",14,1,0,11.3047820852859,1,1,1,0,47.8720799477265
169,"campsite","small",16,0,0,9.70595052312929,1,1,1,0,56.1563972676958
170,"campsite","small",12,0,0,8.11009710957808,1,1,1,0,54.0359981009712
171,"campsite","small",15,0,0,6.24091998472407,1,0,0,0,56.9921416541769
172,"backyard","large",43,0,0,33.9424176850749,1,1,0,0,64.6841064917995
173,"backyard","small",10,1,1,8.84666305164847,1,0,1,1,29.6111149346408
174,"campsite","small",12,0,0,5.60543490130688,1,1,1,0,55.2376420520206
175,"backyard","small",9,1,1,7.44490220153827,1,1,0,0,25.894305831618
176,"backyard","small",13,1,0,4.26488568211572,1,1,1,0,48.435107145328
177,"campsite","large",44,1,0,34.892359760173,1,1,1,0,44.9984429279575
178,"campsite","large",45,1,0,32.456176252379,1,0,0,0,52.1604640544969
179,"backyard","small",11,0,0,10.2947309641054,1,1,0,0,58.0793736407169
180,"backyard","small",12,1,0,11.9487014562146,1,1,0,0,48.2784342383222
181,"campsite","small",6,0,1,4.1841304582155,0,1,1,0,33.7274056420367
182,"campsite","small",19,1,0,12.0094673731522,1,1,1,0,46.1404834833562
183,"backyard","small",8,0,0,5.93866221280784,1,0,1,0,57.5055153424455
184,"campsite","small",13,1,0,6.51599348958015,0,1,1,0,46.1792211851097
185,"campsite","small",11,1,0,6.07862561262155,1,1,1,1,45.8149103313759
186,"backyard","small",13,0,0,10.5382120846725,1,1,1,0,58.7443489372423
187,"backyard","large",27,0,0,17.4731685654693,0,1,1,0,61.434524359147
188,"backyard","large",46,1,1,42.9612252835166,0,1,0,0,35.4986991312648
189,"campsite","large",49,1,0,39.8607711638687,1,1,1,1,45.7051073884013
190,"beach","large",38,1,0,27.680243731752,1,1,1,0,43.4690417451566
191,"backyard","large",38,1,1,25.5083470640544,1,1,0,0,33.4776051770231
192,"backyard","small",15,0,0,12.0971989921978,1,1,1,0,58.0412258632041
193,"beach","small",15,1,1,5.74935659499712,1,1,1,1,22.9287987343927
194,"campsite","large",53,0,0,40.8715944059547,1,1,1,0,55.1279203081969
195,"backyard","large",45,0,0,31.8749985535072,1,1,0,0,67.1476689673843
196,"backyard","small",8,0,1,6.14732550678319,1,0,0,0,37.7848502307539
197,"backyard","small",12,1,1,6.15391425108616,1,1,0,0,27.7495489967678
198,"backyard","large",44,1,0,26.3236547100352,1,1,1,0,55.0643781505972
199,"backyard","small",14,1,0,8.6460681864277,1,1,0,1,47.4222401538967
200,"campsite","small",10,1,1,4.36859756175319,1,1,1,0,24.8137078119733
201,"backyard","small",13,0,1,8.65809464383339,0,1,1,1,36.983472194404
202,"backyard","small",9,0,0,4.52258866351223,1,1,1,0,55.5226631184258
203,"beach","small",13,0,0,7.25296510656145,1,1,1,0,54.5789490194432
204,"campsite","small",11,1,0,8.70507762779277,1,1,0,0,46.1998115235529
205,"campsite","small",10,1,1,8.05047767439546,1,1,0,0,25.9376760520463
206,"campsite","small",14,0,0,6.99574373839069,1,1,1,0,56.484777469919
207,"backyard","small",12,0,0,6.50637362388639,1,1,1,1,57.9083362000555
208,"backyard","small",9,0,1,5.2592868010659,1,1,1,0,36.7197708770297
209,"backyard","small",13,0,0,7.05024056345646,1,1,1,0,58.3590986788431
210,"backyard","small",8,1,0,5.10147822561478,1,1,1,0,44.9423929847602
211,"backyard","small",14,0,0,9.82218756690133,1,0,0,0,60.0325645975555
212,"backyard","small",18,0,0,11.0049457429397,1,1,1,0,59.4430492848181
213,"backyard","small",10,0,1,7.6546440861361,1,1,1,1,36.750473025285
214,"campsite","small",7,0,1,4.41194233121977,1,1,1,1,34.8277138724689
215,"backyard","small",15,0,0,8.30350321178364,1,1,1,1,58.8343311478694
216,"backyard","small",14,1,0,7.38893652193738,1,1,1,0,49.3558860410418
217,"backyard","small",11,0,1,8.83936156111051,1,1,1,0,36.3267002837962
218,"campsite","small",9,1,1,5.64664092736421,1,1,0,0,26.2086150356046
219,"campsite","small",14,1,0,10.2888484484604,1,1,0,0,46.1012251872398
220,"campsite","small",11,0,0,8.80718119106066,1,1,1,1,54.3797000813899
221,"backyard","small",11,0,1,6.61292517056038,1,1,0,0,36.9721301311107
222,"campsite","small",7,1,0,3.94639490199521,1,1,0,0,44.7534463528155
223,"beach","large",33,1,0,28.3494139526405,1,1,0,0,42.588922301539
224,"backyard","small",10,1,0,6.57373691685652,1,1,1,0,45.2306399546276
225,"backyard","small",14,0,0,10.6311015068504,0,1,1,1,56.6983969321127
226,"beach","small",14,1,0,5.2651788307379,1,1,1,1,45.0404123065585
227,"backyard","small",12,1,1,8.09133372854518,1,1,1,1,26.2576697439101
228,"backyard","large",43,1,0,35.5933401070655,1,1,0,0,55.4193141160298
229,"beach","small",16,0,0,9.48919136271962,1,1,1,1,54.798663147542
230,"beach","small",14,1,0,10.4208498025685,1,1,0,0,45.7595977330602
231,"campsite","small",19,0,0,8.96774836856303,1,1,0,0,56.1337968263795
232,"beach","small",11,0,1,6.4633672162249,1,1,1,0,33.5101687009532
233,"campsite","small",13,1,1,8.97560856525806,1,1,1,0,26.1030395698251
234,"backyard","small",14,0,0,10.9725859212713,0,1,1,0,58.31970596451
235,"backyard","small",14,1,1,10.2751833555426,1,1,0,1,28.4700816156154
236,"backyard","small",10,1,0,8.40560485946813,1,1,1,0,47.5182221386163
237,"beach","small",14,0,1,7.94249248168663,1,1,1,0,35.4325844601681
238,"backyard","large",45,0,0,27.8934576933827,1,1,1,0,64.1160294315665
239,"campsite","large",34,0,1,30.2264704587119,0,1,0,1,35.5808474034712
240,"backyard","small",21,1,1,14.3784123724408,1,1,1,0,30.762519141552
241,"backyard","small",16,0,0,10.5810311014529,1,1,1,0,58.8162179799717
242,"backyard","small",13,1,1,8.2916014526981,1,1,0,1,29.0203690681103
243,"backyard","large",40,0,1,31.8651714628055,1,1,1,1,45.5933773034468
244,"backyard","small",13,0,0,12.4850346767727,1,1,0,0,58.6750885334261
245,"backyard","small",17,0,0,15.2479735676273,1,1,1,0,60.9958329293603
246,"backyard","large",28,0,0,18.675817965015,1,1,0,0,63.1577979084254
247,"backyard","small",14,0,0,8.823452854639,1,1,1,1,57.9300052358191
248,"backyard","small",8,0,0,4.58356334049126,0,1,1,1,54.9421373837851
249,"backyard","small",11,1,0,8.50774487139334,1,1,1,0,48.0710041266067
250,"backyard","small",7,0,0,2.6046289635463,1,1,0,0,53.39097003155
251,"backyard","small",15,1,0,5.56198907094346,1,1,0,0,50.3099990249946
252,"campsite","small",13,0,1,5.58606571057088,0,1,1,1,35.5117714051997
253,"backyard","small",8,0,0,3.45451360868638,0,1,0,0,55.2096357915105
254,"backyard","small",7,1,1,5.05845027764296,0,1,1,0,26.1716415188482
255,"campsite","small",10,0,0,6.40926338778853,1,1,0,1,55.8928296064558
256,"backyard","small",9,1,0,4.93312105947767,1,1,1,0,47.6126580930912
257,"backyard","small",12,1,0,8.0274743597689,1,1,1,0,48.4935582289059
258,"campsite","small",11,1,1,7.23471540787449,1,1,0,1,26.0244291102238
259,"campsite","small",10,0,0,7.29793804405279,1,1,1,1,53.2786558754657
260,"campsite","small",11,1,0,8.69798707458315,1,1,1,0,44.8507219856192
261,"campsite","large",30,1,0,22.3695748100628,1,1,1,1,46.5372064384051
262,"backyard","small",9,0,1,6.17147838685399,1,1,1,0,36.3924963198049
263,"backyard","small",12,1,0,7.24784992193069,1,1,0,0,46.3122925924958
264,"backyard","small",11,1,1,7.88130127937655,1,1,0,1,25.6127813638169
265,"backyard","large",53,0,1,41.696081422738,0,1,0,0,44.7749259470632
266,"backyard","large",63,1,0,51.9497629967991,1,1,0,0,55.4630050288478
267,"campsite","small",11,0,1,10.2660236619135,1,1,0,1,34.523535241672
268,"beach","small",16,0,1,12.6680383160209,1,1,1,1,33.8818332770238
269,"campsite","small",9,1,0,6.69524270337589,0,1,1,0,45.065826164928
270,"backyard","small",12,1,0,8.07570415373589,1,1,0,0,46.4189922966862
271,"campsite","small",14,0,1,6.86387712414812,1,1,0,0,35.64184039482
272,"campsite","small",11,1,0,6.87415925211218,0,1,1,1,44.2288321992572
273,"campsite","small",9,1,0,4.99974195823337,1,1,1,0,45.5692471322207
274,"backyard","large",45,1,0,32.9498251704259,0,1,1,0,55.1072687584298
275,"backyard","small",9,0,0,5.04905995587991,1,1,1,0,55.4543301630458
276,"campsite","small",10,0,0,9.48012336487485,0,1,1,1,55.1858616277696
277,"backyard","small",10,0,0,6.74382191517844,1,1,1,1,56.2361787529785
278,"backyard","large",46,1,1,38.671068205912,1,1,0,0,37.0416324822376
279,"backyard","large",57,0,0,45.111783399778,0,1,0,0,63.5662035075736
280,"campsite","large",51,1,0,38.4277155830423,1,1,1,0,45.8338355484262
281,"campsite","small",7,0,1,3.8923874297037,1,1,0,0,33.9797303886052
282,"backyard","large",34,0,0,25.27582894092,1,1,1,1,63.7957229987479
283,"backyard","small",12,1,0,11.8875621729123,1,1,0,1,46.4721032097059
284,"beach","small",15,1,0,11.9130421810185,1,1,1,0,43.0134751012177
285,"beach","large",44,0,0,31.3504572078466,1,1,1,0,52.2946825505768
286,"campsite","small",13,1,1,6.08823746746578,1,1,1,0,23.5908559880737
287,"beach","large",32,0,0,25.4923387117644,1,1,0,1,54.1791351188309
288,"campsite","small",8,1,0,4.26963323352789,1,1,0,0,44.7143893048174
289,"backyard","small",9,0,1,8.12775400229604,1,1,1,0,37.7086727490174
290,"campsite","small",13,0,0,7.08279416539719,1,1,1,0,55.6361240651141
291,"campsite","small",12,0,0,9.8501647251862,1,1,0,0,56.7777998382781
292,"campsite","large",34,0,0,33.8831893855334,1,1,0,0,56.4377782204684
293,"backyard","small",11,1,0,6.18333690262705,1,1,1,0,45.9992678648322
294,"backyard","small",12,0,1,9.2601392770806,1,1,0,0,39.1030064423297
295,"beach","small",7,0,0,3.72622216416665,1,1,1,0,51.8299765511207
296,"campsite","small",16,0,0,11.5659100284113,1,1,0,0,57.7068522008094
297,"backyard","small",9,1,0,7.07089668834131,0,1,1,0,47.2630039059945
298,"campsite","small",10,0,0,8.18716097139673,1,1,0,1,55.0511977102251
299,"backyard","small",11,0,0,5.188232909119,1,1,0,0,57.1851608307136
300,"campsite","small",17,0,0,10.3520513121184,1,1,1,0,56.4425816264191
301,"campsite","large",34,0,0,25.7670626755804,1,1,0,1,56.6918013519651
302,"beach","small",11,1,0,9.11599968970718,1,1,1,0,42.8745807058516
303,"campsite","small",10,1,0,5.55808082090309,1,1,0,0,44.9234546867113
304,"backyard","small",10,0,0,4.48917299759943,1,1,0,1,56.181478326042
305,"campsite","small",17,1,0,9.57503263131764,1,1,1,0,46.2343757929134
306,"campsite","large",44,1,0,39.013086411217,1,0,0,0,51.6957468122412
307,"backyard","large",50,1,1,38.3846101405421,1,1,1,1,34.6960447426909
308,"backyard","small",13,0,0,8.55074378142957,1,1,0,0,57.8995236575516
309,"backyard","small",11,1,0,5.11466468941107,0,1,0,0,47.1957507889161
310,"beach","small",12,0,1,7.09560283807643,1,1,0,0,34.5049405134604
311,"campsite","small",18,0,0,15.8976451178463,1,1,0,0,54.7522892587051
312,"beach","small",10,1,0,7.29646385895668,1,1,0,1,44.796564402447
313,"backyard","small",17,1,0,9.27069930564014,1,1,1,1,49.3751060865053
314,"backyard","small",11,1,0,5.24057328021014,1,1,1,0,46.4286564991772
315,"backyard","large",33,1,0,28.8950397430932,1,1,1,1,53.3081425528386
316,"campsite","large",31,0,0,24.488069306488,1,1,1,1,54.7454165112552
317,"backyard","small",15,0,0,7.15559849813891,0,1,0,0,58.072871435783
318,"campsite","large",47,0,1,35.5649209355918,1,1,1,1,37.0062069770109
319,"campsite","large",27,0,0,18.5898999677562,0,1,1,1,57.3228311339619
320,"campsite","small",12,0,0,9.58920045587251,1,0,1,0,56.2717292754494
321,"backyard","small",16,1,0,14.6817933552392,1,1,1,0,49.3702234758552
322,"beach","small",11,0,0,4.15407167282455,1,1,0,1,53.2844867218442
323,"backyard","small",9,0,1,6.15846860992565,1,0,0,0,37.4901199729364
324,"beach","small",11,1,0,6.45358677749833,1,1,1,1,45.1198790441891
325,"backyard","large",33,0,0,22.1353252088877,1,1,1,0,65.3264637541768
326,"campsite","small",12,1,0,6.86735858314428,1,0,0,1,46.4896247462419
327,"campsite","small",14,1,0,12.5556990779132,0,1,1,0,45.1016063725836
328,"backyard","small",15,1,0,8.07495646269474,1,1,0,1,47.3605753505792
329,"backyard","small",16,1,0,10.5202138901072,1,1,1,0,49.8775706366005
330,"backyard","small",10,0,0,6.2323564711596,1,1,0,0,57.028486569059
331,"backyard","small",10,0,0,6.99852345664069,1,0,0,0,56.8327401365558
332,"backyard","small",17,0,1,6.5239997414976,1,1,1,0,39.4672341896334
333,"backyard","small",18,1,0,9.11215969787216,1,1,1,0,50.7251849071007
334,"backyard","small",7,1,0,4.43492574511129,1,1,1,0,45.2824425205828
335,"campsite","small",6,0,1,3.73335099366306,1,0,1,1,34.7214365019697
336,"campsite","small",7,0,0,4.62728430757248,1,1,0,1,54.1142772970518
337,"backyard","small",8,1,1,4.99356404546984,0,1,1,0,25.4440350503774
338,"backyard","small",16,0,0,5.75105809937845,1,1,1,0,58.7081003404301
339,"backyard","large",38,0,0,30.0108920177644,1,1,1,0,65.0037770306912
340,"backyard","small",10,1,0,7.99289952495009,0,1,1,0,44.9054953007697
341,"backyard","small",14,0,0,10.8375169444829,1,1,1,0,58.0261714825305
342,"backyard","small",11,0,0,7.85018238123897,1,1,0,1,56.2830220083486
343,"backyard","small",10,1,0,5.39647217246043,1,1,1,0,46.4109737634502
344,"beach","small",10,1,0,7.51178774470864,1,0,1,0,45.0197815684117
345,"beach","small",13,1,0,7.64157674835897,0,1,1,0,43.6456216246869
346,"backyard","small",9,0,0,6.05140107427794,1,1,0,0,57.6321978648729
347,"campsite","small",13,0,0,7.81418141999322,1,1,1,1,55.0130995816175
348,"backyard","small",15,1,0,11.7530859878354,1,1,0,1,48.7313431296705
349,"beach","small",9,1,0,5.34343072367208,1,1,0,0,42.8738793362136
350,"backyard","small",9,1,0,4.52701745678783,1,1,0,1,44.3870970202573
351,"backyard","large",46,1,0,37.4774946468555,1,1,1,0,56.7588902456501
352,"campsite","large",38,1,0,30.3454373563354,0,1,1,1,46.7969731017385
353,"beach","small",7,0,0,3.62767727374552,1,1,0,0,52.254333022513
354,"backyard","small",10,0,0,8.68179802508348,0,1,1,1,54.5465020936965
355,"backyard","large",52,0,0,36.7910172114217,1,1,1,0,65.8997380900884
356,"backyard","large",43,0,0,38.2840564071688,0,1,0,1,64.5034031032991
357,"backyard","small",13,1,0,6.85100319675124,1,1,1,1,47.4255940096426
358,"backyard","large",43,1,0,28.746052296265,1,1,1,1,56.8636632918221
