"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items","propane_used"
78,"backyard","large",35,0,0,24.9666468273961,1,1,0,0,61.8910862939658
79,"backyard","small",11,0,0,6.8068100033378,1,1,1,0,57.258404879209
80,"backyard","small",13,1,0,7.17994737189176,1,1,0,0,48.1409214333997
81,"backyard","small",10,0,1,8.1563992924516,1,1,1,0,34.5688123404944
82,"backyard","small",13,1,0,8.1882453359841,0,1,1,0,46.3947561870195
83,"backyard","small",14,0,0,6.65580434567515,1,1,1,1,59.4663974136855
84,"backyard","large",38,1,0,25.6927707233541,1,1,0,0,53.3460338289289
85,"backyard","small",13,1,0,6.23078252844626,1,1,0,0,47.2205577804212
86,"campsite","small",13,1,0,9.5999664534216,1,1,0,0,46.1626503996353
87,"campsite","small",13,0,0,6.64654006427002,0,1,1,0,55.1463409481911
88,"backyard","small",14,1,0,6.94215723417676,1,1,1,0,50.4592384969335
89,"backyard","small",10,0,1,5.03205010996174,1,1,1,0,37.0174752851753
90,"campsite","large",52,1,0,42.4495175039734,1,1,1,0,45.2889634255599
91,"backyard","small",10,0,0,8.84890864877122,1,1,1,1,55.5098568264797
92,"backyard","small",7,0,0,4.22807648304256,1,1,0,0,55.6172734826336
93,"beach","large",40,0,1,30.3445403546112,1,1,0,0,34.272989531627
94,"campsite","large",38,1,0,29.3351311598824,1,1,0,0,47.294330548432
95,"backyard","small",15,1,0,11.6796032771405,1,1,1,0,49.438440503156
96,"beach","small",15,1,0,11.4682651483788,1,1,1,0,43.581218523276
97,"campsite","small",11,1,1,8.43837285644159,1,0,1,1,25.3985971169229
98,"campsite","small",12,1,0,7.22663338000927,0,1,1,0,44.9618985237946
99,"backyard","small",12,0,1,5.75608672073033,1,1,1,0,38.3057027241102
100,"backyard","small",11,1,1,2.74116518511329,0,1,1,0,26.0959166673735
101,"backyard","small",12,0,0,7.78237136261518,1,1,0,1,56.9699849730921
102,"backyard","small",15,1,0,11.1819549770296,1,1,0,0,49.9733010338746
103,"backyard","large",47,0,0,31.7058185770624,1,0,0,1,70.4816209836148
104,"campsite","small",15,0,0,8.87065294053917,0,1,1,0,53.8016353371038
105,"backyard","large",34,1,0,30.7604634719851,1,1,1,1,54.1817741702315
106,"campsite","small",15,1,0,8.8819335134399,1,1,0,1,44.8241722276052
107,"backyard","small",9,0,0,3.98214917707524,1,1,1,0,55.3136800869144
108,"backyard","large",51,0,0,50.5933601067709,1,1,1,0,67.4059698646249
109,"campsite","large",43,1,0,32.439000249518,1,1,0,0,46.5759260901447
110,"campsite","small",18,0,0,15.8976451178463,1,1,0,0,54.7522892587051
111,"backyard","large",41,1,0,31.0421847751805,1,1,1,1,54.920965804426
112,"backyard","small",11,1,0,7.21765648500551,1,1,1,0,47.5318183534018
113,"backyard","large",40,0,0,28.8457991468728,0,1,1,0,65.2956759729794
114,"backyard","large",39,1,0,30.1014088857335,1,1,1,1,54.7834866285602
115,"backyard","small",12,1,0,5.05608933499531,1,1,0,0,48.1944028051353
116,"backyard","small",12,0,0,5.6009688720571,1,1,1,0,57.2397453262712
117,"backyard","small",14,0,0,7.72500956057236,1,1,1,0,57.5961738446325
118,"backyard","small",15,1,0,10.4730899291093,1,1,1,0,50.5852156426173
119,"campsite","small",7,0,0,3.45982129812684,1,1,1,0,53.8507853259958
120,"campsite","small",8,1,0,3.27872391074522,1,1,1,0,44.6403662670286
121,"backyard","small",20,0,1,8.2849319409137,1,1,1,0,41.757507412595
122,"backyard","small",9,0,0,3.05260854859678,1,1,1,1,54.8284526706239
123,"backyard","small",8,0,1,6.56671321871888,1,0,0,0,36.7030908082189
124,"campsite","small",8,0,0,5.35176844499271,1,1,1,0,53.507630776124
125,"backyard","small",12,0,0,8.79317544389117,1,1,1,0,57.563079606043
126,"campsite","small",11,1,0,7.74945747556248,1,1,0,0,43.542384372914
127,"backyard","small",11,1,0,7.40453347109999,1,1,0,0,45.4806272588508
128,"backyard","large",41,0,0,31.9609645672984,1,1,1,0,65.7212615009831
129,"beach","small",17,1,0,15.4450224713358,1,1,0,0,45.1482145033213
130,"backyard","large",42,1,0,34.8252390390914,0,0,1,0,57.1701513485128
131,"campsite","small",7,0,1,4.26910628812991,1,1,1,0,33.3294410760679
132,"beach","large",46,0,0,41.5672437843576,1,1,0,0,52.8090240253818
133,"campsite","small",16,0,1,8.53959406797612,1,1,1,0,35.7323986373422
134,"backyard","small",11,1,0,7.52140610804244,1,1,1,0,46.2944645518373
135,"beach","large",37,0,0,26.3908978474565,0,1,1,0,53.1338774945187
136,"backyard","small",14,1,0,13.560758677037,1,1,1,0,48.3665481705886
137,"backyard","small",9,0,0,4.52810048899829,1,1,1,1,54.8618036827924
138,"backyard","small",10,0,0,5.3383538330487,1,1,1,1,56.9200379946968
139,"campsite","small",13,1,1,10.4173835753602,1,1,1,0,25.0217231995319
140,"beach","small",7,0,0,3.8949357065808,1,1,1,0,53.8452714434592
141,"backyard","small",10,0,0,6.79243914291035,1,1,1,0,56.7053839516749
142,"backyard","small",10,0,0,4.34169040338447,1,1,0,0,57.3126942483568
143,"campsite","large",54,0,1,40.7540881007958,1,1,1,0,35.8616998864701
144,"campsite","large",46,0,0,36.9168826384451,1,1,1,0,56.1354940505317
145,"backyard","small",14,0,0,11.7540751751296,1,1,1,1,61.121844933153
146,"campsite","large",47,0,1,41.0870017951112,1,1,0,1,36.038124008297
147,"campsite","large",44,0,0,27.0181462119398,1,1,1,0,55.2971912289361
148,"campsite","small",15,0,0,9.57579799139533,1,0,0,0,57.0959210742859
149,"campsite","small",16,1,0,7.65502388282652,1,1,1,1,46.3768642102614
150,"backyard","small",11,0,1,4.96076312446911,1,1,1,1,37.7247687850852
151,"campsite","small",9,1,0,4.9710970227014,1,1,1,0,43.5317781799638
152,"backyard","small",13,0,0,7.00073016758821,0,1,1,0,57.3869865201923
153,"backyard","large",39,1,1,32.6349337665657,1,1,1,0,34.3022506034437
154,"campsite","small",7,0,1,3.8923874297037,1,1,0,0,33.9797303886052
155,"campsite","small",11,1,0,8.69798707458315,1,1,1,0,44.8507219856192
156,"backyard","small",9,1,0,5.72708352823318,1,0,0,0,47.0099513690166
157,"beach","small",11,0,0,6.94166674841392,1,1,1,0,55.4354350269359
158,"backyard","small",13,0,0,8.1692123392552,1,1,0,0,59.3948475839576
159,"backyard","small",14,0,0,5.15125854498759,1,1,0,0,58.832338247827
160,"backyard","small",8,0,0,4.1725086844395,1,1,1,0,55.6578855310947
161,"backyard","small",20,0,0,11.8106794470603,0,1,1,0,60.5695097078893
162,"backyard","small",10,0,0,5.34921079766982,1,1,1,0,56.0460626434518
163,"campsite","small",7,0,1,3.20089709806666,1,1,1,1,33.5391996631276
164,"backyard","large",51,1,0,37.8583484795845,1,1,1,1,56.9594606944695
165,"backyard","small",13,0,0,8.82930566247001,1,1,1,0,58.1290885514056
166,"campsite","small",12,0,0,4.42921464026406,1,1,0,0,55.0302092718213
167,"backyard","small",10,0,0,7.06299515833104,1,1,0,0,57.1773252818502
168,"beach","small",14,0,0,9.71231417274794,0,1,0,1,54.1696775712782
169,"campsite","small",18,0,0,17.3865637182946,1,1,0,0,56.5934726728064
170,"backyard","small",12,1,0,5.59427845196567,1,1,0,0,47.5725284245524
171,"campsite","small",17,0,0,13.0984110650195,1,1,1,0,55.7856400409932
172,"backyard","small",12,1,0,5.0034099868413,1,1,0,0,46.7829936371314
173,"backyard","small",9,0,1,8.51776646606238,1,1,1,0,37.8778057448728
174,"backyard","small",12,1,0,9.85239272162749,1,1,0,0,47.6481904542014
175,"backyard","large",36,0,0,21.3215041436007,1,1,1,0,63.3092279806817
176,"backyard","small",9,0,1,6.14600141261233,1,1,1,0,36.496160169664
177,"campsite","large",50,1,0,26.5969648773687,1,1,0,1,44.3656830595008
178,"backyard","small",7,0,0,4.7349438725185,1,1,1,1,54.6848071608043
179,"backyard","small",15,0,0,9.82646386857916,1,1,1,1,59.7533160089749
180,"backyard","small",21,1,0,11.118092392831,1,1,1,1,50.8503445048454
181,"beach","small",16,0,0,13.2563750091991,1,1,0,1,54.2578149377169
182,"backyard","small",10,0,0,6.41087328819457,0,1,0,0,56.1363556146516
183,"campsite","large",40,1,0,31.1973482301399,1,1,1,0,48.2008494003624
184,"beach","small",10,1,0,7.60338242660687,1,1,1,0,43.969382514871
185,"backyard","small",5,1,0,2.37347371100659,0,0,0,0,46.0706198979815
186,"backyard","small",11,1,0,7.49523637573173,0,1,1,0,45.0721714181718
187,"backyard","large",36,0,1,19.2600771854539,1,1,0,1,44.8883777692818
188,"campsite","small",8,0,0,5.71659911269758,1,1,1,0,55.1678420783209
189,"backyard","small",14,0,1,11.2009593407316,1,1,0,1,39.5062845189979
190,"backyard","small",10,1,0,7.64968355244325,1,1,0,0,48.1894195062098
191,"backyard","small",11,0,0,8.42885526704668,1,1,1,1,57.7100077723885
192,"beach","small",9,1,0,3.43464168900267,0,1,1,0,42.3610036459261
193,"backyard","small",14,1,1,8.58629170966329,1,1,1,0,27.9739710287782
194,"backyard","small",12,0,1,7.03530323295099,1,1,1,0,37.8905161229088
195,"campsite","small",12,1,0,5.03486922797777,1,1,0,0,46.1565455503707
196,"campsite","small",13,0,0,9.20061086603013,1,1,0,0,53.3222394946765
197,"backyard","large",41,1,0,29.6565278783748,1,1,1,0,53.6546051517178
198,"backyard","large",47,1,0,35.6159652721455,1,1,1,0,55.1986218951954
199,"backyard","small",12,1,0,6.40971574703887,1,1,1,1,46.9165356051054
200,"campsite","small",7,0,0,4.74086457107997,0,1,1,0,53.4893979178478
201,"beach","small",13,0,0,9.24139001543739,1,1,0,0,53.2404277524051
202,"backyard","small",14,0,0,2.47594137583401,1,1,0,0,59.1434854981711
203,"campsite","large",39,1,0,31.2486124495104,1,1,1,0,46.4212071271235
204,"campsite","small",10,1,0,7.8663253043994,1,1,0,1,44.3135899872202
205,"backyard","small",8,1,0,3.83378095659184,1,1,1,0,46.6793095405818
206,"backyard","small",12,1,0,7.96456284494209,1,1,1,0,48.3998446250923
207,"backyard","small",13,1,0,9.17926822373766,1,1,0,1,47.7287719036328
208,"backyard","small",15,0,0,11.1334568280519,0,1,1,1,59.1083713999402
209,"backyard","small",14,1,0,8.14441939187715,1,0,0,0,49.692813140492
210,"campsite","small",13,0,0,6.95786753732332,1,1,1,1,56.1105661555729
211,"backyard","small",11,1,0,8.21306666707302,1,1,1,0,46.9487920146024
212,"backyard","small",13,0,0,8.43987821772596,1,0,0,0,59.2117420155138
213,"backyard","small",14,1,0,8.28311507491025,1,1,1,1,48.1783782832805
214,"campsite","large",51,0,0,44.6136519482078,1,1,1,0,56.5557097986571
215,"backyard","small",16,0,0,9.76309062189146,1,1,1,0,58.4027143240653
216,"backyard","large",49,0,1,35.7734709700888,1,1,0,0,46.1797163311005
217,"campsite","large",45,0,1,32.9391957202143,1,1,0,0,35.9462653821807
218,"backyard","small",18,1,0,11.4014753863912,1,1,0,0,48.2733876954991
219,"backyard","small",16,1,0,8.12331711809698,1,1,0,0,49.5386941607994
220,"campsite","small",7,0,0,5.22903693182898,0,1,1,0,53.0696723457078
221,"backyard","small",10,1,1,6.25359852000759,1,1,1,0,28.1118698981559
222,"backyard","small",13,0,0,7.66142753763539,0,1,0,0,57.2665438090954
223,"campsite","small",12,1,0,9.3387230653107,1,1,1,0,46.139699140173
224,"campsite","small",6,0,0,3.01366736008105,1,1,1,0,55.4699338653752
225,"campsite","large",40,0,0,31.1245544245246,0,1,1,0,57.689319014656
226,"backyard","large",44,1,0,32.8487777018555,1,1,0,0,54.5218693642009
227,"backyard","small",17,0,0,13.8023868775044,1,1,0,0,59.1402365882158
228,"backyard","small",11,1,0,3.32837974400288,1,1,0,0,47.5492064088112
229,"backyard","small",14,0,0,7.67871806265915,1,1,0,0,59.1280431115368
230,"campsite","small",11,1,0,7.72976662437295,1,1,0,1,45.7197459846547
231,"campsite","large",35,0,0,26.2465690823283,0,1,1,1,55.6454512583149
232,"backyard","small",11,1,0,7.85661776992767,1,1,1,0,47.4175930957094
233,"campsite","small",12,1,0,3.37391298557053,1,1,0,0,45.2848320324557
234,"backyard","small",17,0,0,10.293203749411,1,1,1,1,58.3530826184612
235,"backyard","small",14,1,0,6.92264465036779,1,1,0,1,48.1413798779501
236,"campsite","small",7,1,0,3.94949297692137,1,1,1,1,42.9918275230941
237,"backyard","large",41,1,0,26.5961495147084,1,1,1,1,54.7756464814301
238,"campsite","small",13,0,0,7.92329925532603,1,1,0,0,54.5159584627551
239,"campsite","small",15,0,0,10.4260213050605,1,1,1,0,56.5387712801506
240,"campsite","small",12,0,0,9.88181597889683,1,1,1,0,56.0501047365177
241,"campsite","large",37,1,0,29.026969678706,1,1,1,1,47.4265343287557
242,"campsite","small",11,1,0,5.37910693182196,1,1,1,0,45.5571043845503
243,"backyard","small",13,1,0,11.4710521163429,0,1,1,0,47.6198727788673
244,"backyard","large",49,1,1,36.9413529369376,1,1,1,0,36.3541590324497
245,"backyard","small",13,1,1,9.73469870878274,1,1,0,0,29.4835134756959
246,"backyard","large",43,1,0,27.0257424156565,1,1,1,0,55.5402008549589
247,"backyard","small",13,0,0,10.5382120846725,1,1,1,0,58.7443489372423
248,"backyard","small",11,0,0,3.41585188612392,1,1,1,0,58.2742011530183
249,"campsite","large",44,0,0,34.8723131518693,1,1,0,0,56.927101904549
250,"campsite","small",11,0,1,8.30078271946083,1,1,1,0,34.0669025656521
251,"campsite","small",19,0,0,11.9225473767223,1,1,1,1,57.1121428659656
252,"backyard","small",12,1,1,7.75245765448418,1,1,1,1,27.969685008455
253,"campsite","small",14,0,0,7.82723019463333,1,1,0,0,55.4855472013537
254,"backyard","small",13,0,0,9.59485152372959,1,1,0,0,58.1889275701753
255,"campsite","small",12,0,0,7.01683177458983,1,1,1,1,56.120868336606
256,"backyard","large",42,0,0,25.2129746469266,0,1,0,0,65.201509927083
257,"backyard","large",48,0,0,40.0266559412428,1,1,1,1,64.9349019491261
258,"backyard","small",14,1,0,3.760973916217,1,1,1,0,48.2965192343395
259,"backyard","small",16,1,0,11.974723261675,1,1,1,0,50.9300055368745
260,"backyard","small",9,1,0,4.68585341663338,1,1,0,0,47.1353343854487
261,"backyard","large",46,0,0,44.3804292264129,1,1,1,1,66.9625014794767
262,"backyard","small",13,1,0,6.60253535601691,1,1,1,1,48.5313347348301
263,"backyard","small",8,1,0,4.96802950557003,1,1,1,0,47.197239732086
264,"backyard","small",11,0,0,6.0010187574847,1,1,1,1,56.2890118036457
265,"beach","small",13,0,1,10.2067038162794,1,1,0,1,32.6077204557083
266,"backyard","large",41,0,0,32.763897114113,0,1,1,1,61.9033523320907
267,"backyard","small",10,1,0,5.31435037216038,1,1,0,0,46.4043946511221
268,"backyard","small",9,0,0,4.92463641429666,1,1,1,0,55.3079066693099
269,"campsite","small",9,1,0,2.81053227405946,1,1,0,0,46.6837355030219
270,"campsite","large",45,0,0,27.6231152801507,0,1,1,0,55.0910172117351
271,"backyard","small",12,0,0,7.06768261327742,0,1,1,1,56.1345910532344
272,"backyard","small",10,1,1,7.77537743714021,1,1,1,0,26.9099693021618
273,"backyard","large",41,0,0,32.2801719395631,1,1,1,0,63.0169526973655
274,"backyard","large",46,0,0,37.3487636755288,1,1,0,0,66.1117934638698
275,"beach","small",12,0,0,7.26660027435391,1,1,1,0,52.8131576920686
276,"backyard","small",10,1,1,3.26172162693176,1,0,1,1,27.2182042394961
277,"campsite","small",18,0,0,8.05910027038822,1,1,1,0,56.5161763972223
278,"beach","small",10,0,0,5.35345730017549,1,0,1,1,56.5803708783535
279,"backyard","small",9,1,1,8.34568648774944,1,0,1,1,27.2922680679815
280,"campsite","small",16,0,0,8.815875908048,1,0,0,0,58.3857638263314
281,"campsite","small",8,1,0,2.54259682890547,1,1,1,0,43.1319683607013
282,"campsite","small",13,1,0,7.72882827562536,1,1,0,0,45.0448527478579
283,"campsite","small",9,0,0,4.81227253589658,1,1,0,0,54.4374107610836
284,"backyard","small",15,1,0,7.61534936674093,1,1,0,0,49.8272700580484
285,"backyard","large",41,1,0,32.1778488019752,0,1,1,0,54.1246191328774
286,"beach","small",12,0,0,8.77068180248775,0,1,1,0,54.2467695588281
287,"backyard","small",12,1,1,6.98874647761476,1,1,0,0,26.8057877962528
288,"backyard","small",8,0,0,6.50707943101002,0,1,1,1,55.4168104363132
289,"backyard","small",14,1,0,5.01810710768385,1,1,0,0,48.9323397940044
290,"backyard","small",19,1,0,11.0461307711586,1,1,0,1,51.9610824308239
291,"backyard","small",10,0,0,7.91995862743089,1,1,1,1,58.4924477167614
292,"backyard","large",48,0,0,35.858270598961,0,1,0,1,63.4610373273885
293,"backyard","small",13,1,0,8.54091350154538,1,1,1,0,48.7718096068964
294,"backyard","small",9,0,0,6.13935782047257,1,1,1,0,56.1099990698204
295,"beach","large",56,0,0,32.0012821150309,0,1,1,0,48.4497771667557
296,"campsite","small",11,1,0,8.00111377318697,0,1,1,0,46.2046740297562
297,"backyard","large",38,0,0,28.8179684524701,1,1,0,0,65.6721676481904
298,"beach","small",13,1,0,11.8078637177373,1,1,1,0,42.9179037867647
299,"backyard","small",11,1,1,6.31340415566866,1,1,0,1,26.3683737328933
300,"backyard","large",54,1,0,36.5514969640028,1,1,0,0,56.5412145455876
301,"backyard","small",14,0,1,5.89278336894963,1,1,1,1,37.5933195628326
302,"backyard","small",8,1,0,5.15911942337077,1,1,1,1,45.9422873248998
303,"backyard","large",38,1,0,26.5290822191363,1,1,0,0,53.4776922333198
304,"beach","small",11,0,0,9.67379609751461,0,1,1,0,53.7813562707367
305,"backyard","small",12,1,0,9.69206544153245,1,1,1,0,45.983951213145
306,"backyard","small",12,1,0,9.52084753201359,0,1,1,0,48.0056246109356
307,"campsite","small",9,1,0,6.18857056965652,1,1,0,0,42.6962025325698
308,"backyard","large",33,1,0,24.6472025353498,1,1,0,0,55.0171676905267
309,"campsite","small",16,0,0,18.2194364922286,1,1,1,1,58.5938590606739
310,"backyard","small",9,0,0,5.7071889829711,1,1,1,0,55.7123756898948
311,"campsite","small",7,1,0,5.15949515908803,0,0,1,0,42.9720650007602
312,"campsite","large",41,1,1,27.8299354258166,1,1,0,1,27.5873762273545
313,"backyard","large",37,1,0,30.777153679951,1,0,0,0,56.5752788610839
314,"backyard","small",8,0,0,6.68890855184375,1,1,1,0,56.5894089987921
315,"backyard","large",53,1,1,45.3903174586885,1,1,0,1,34.7107282365703
316,"campsite","large",37,1,0,29.9287888214175,0,1,0,0,45.513667251166
317,"campsite","small",10,1,0,3.88373102349814,1,1,0,0,47.5894918809495
318,"backyard","small",14,1,0,8.63246508179509,1,1,1,0,48.4865522769054
319,"backyard","large",37,1,1,33.8030061884142,1,0,1,1,38.8906236199544
320,"campsite","small",12,0,0,7.88599522576304,0,0,0,1,56.043277640901
321,"backyard","small",12,0,0,6.83646350307599,1,1,1,1,56.7565373934332
322,"backyard","small",11,0,1,8.10724175789585,1,1,1,1,38.3391053462428
323,"backyard","small",15,0,0,11.0034752636136,1,1,0,0,59.9139982986981
324,"backyard","small",10,0,0,6.70304251455992,0,1,1,0,57.2390359592538
325,"backyard","small",13,0,0,6.74642161423126,1,1,0,0,58.2993765860872
326,"backyard","small",10,1,1,8.60296431136522,1,1,0,0,28.3614948437314
327,"beach","small",11,0,0,7.97739495273638,1,0,1,0,53.2553071975499
328,"campsite","small",12,0,0,8.04829208801265,1,1,1,1,54.3865478395419
329,"backyard","small",11,0,1,9.11351658607538,1,1,0,1,35.8425146010828
330,"backyard","small",11,0,1,6.30872055919735,1,1,0,0,36.9538918873247
331,"backyard","large",32,0,1,23.5346554513388,1,1,1,0,43.8661176651236
332,"campsite","small",17,0,0,11.4747879822433,1,1,1,0,56.9706697555144
333,"backyard","small",17,1,1,14.0015941015622,1,1,0,0,31.3471868855481
334,"backyard","small",7,0,0,5.24167718638292,1,1,0,1,55.3185496411066
335,"campsite","large",52,0,0,39.079295545468,0,0,0,0,58.866386432408
336,"beach","small",11,0,0,6.98334788016354,1,1,1,0,54.9906373589576
337,"backyard","small",16,0,0,6.6624158739321,1,1,1,1,59.1153982565075
338,"backyard","large",41,1,0,30.7845547494458,1,1,0,0,54.6994803777374
339,"beach","small",11,0,0,4.66458746950635,0,1,1,0,53.4763289796546
340,"backyard","small",17,0,0,8.47236152680038,1,1,1,0,58.0991165807751
341,"backyard","small",17,0,0,11.2989601960113,1,1,1,0,61.0418154919636
342,"backyard","small",12,1,0,6.3272619626976,1,1,0,1,47.7987088031148
343,"backyard","large",36,0,0,26.1632423145294,0,1,0,0,65.10850064025
344,"beach","small",9,0,1,8.23651711915296,1,1,0,1,33.6243198896541
345,"backyard","small",12,1,0,6.07544099529506,1,1,1,0,45.2860459578239
346,"campsite","large",47,1,0,35.5422462566267,1,1,0,0,45.0354655546927
347,"backyard","small",13,1,0,8.98082908298874,1,1,1,0,48.4311345254575
348,"campsite","small",10,1,0,3.68870475399375,1,1,0,1,44.3092891071158
349,"campsite","small",14,1,0,10.0895793234712,1,1,1,0,45.679912053474
350,"beach","small",13,0,0,9.37892617487172,1,1,1,1,52.8412445247162
351,"backyard","small",7,1,0,5.90717924769052,1,1,1,0,44.9422909304297
352,"backyard","small",14,1,0,9.98999917440701,0,1,1,0,49.0008703831753
353,"campsite","small",13,1,1,10.5973804057716,1,1,1,0,26.3244783852144
354,"backyard","small",15,0,1,10.0216115863649,1,1,0,0,37.5481896265086
355,"backyard","large",43,0,0,36.9267453510861,1,1,0,1,64.0392530154539
356,"campsite","small",14,1,1,12.4416851755956,0,1,1,0,24.7711025566405
357,"backyard","large",38,1,0,30.9468921541582,1,1,1,1,54.4169241432618
358,"campsite","small",10,1,0,5.29573827257953,1,1,0,0,42.7187906064563
