"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items"
83,"backyard","small",9,1,0,5.9263215796146,1,0,0,1
84,"campsite","small",13,0,0,5.62958878833447,1,0,1,0
85,"campsite","small",13,0,0,11.1795161735371,1,1,1,0
86,"backyard","small",15,1,0,9.25827989183802,1,1,0,1
87,"backyard","small",12,0,1,6.63373081335298,1,1,1,0
88,"backyard","large",40,1,0,31.9716830038054,0,1,0,1
89,"backyard","large",43,0,0,28.5188229914282,1,1,1,0
90,"backyard","small",12,0,0,6.80549568447961,1,1,1,0
91,"beach","small",14,0,0,7.19881165859497,1,1,1,0
92,"backyard","small",12,1,1,5.94456724686419,1,1,1,1
93,"backyard","small",18,1,0,14.4179036773586,1,1,1,1
94,"campsite","small",15,0,0,10.446114722385,1,1,0,1
95,"backyard","large",43,1,1,31.2714064277308,1,1,1,1
96,"backyard","small",9,0,0,5.01583795612774,1,1,0,0
97,"backyard","small",12,0,0,5.12820534924325,0,1,1,0
98,"backyard","small",8,1,0,3.79929347806973,1,1,1,0
99,"backyard","large",40,0,1,30.3747192859942,1,1,0,1
100,"backyard","small",13,1,0,6.71761981492726,1,1,1,0
101,"backyard","small",12,0,1,11.4452797831595,1,1,1,0
102,"backyard","small",8,1,0,4.60969463787111,1,1,1,1
103,"campsite","small",13,0,0,7.28672431092548,1,1,1,0
104,"beach","small",8,0,0,4.20868819306722,1,1,0,0
105,"campsite","small",9,0,0,6.53536917874879,1,1,1,0
106,"backyard","large",45,0,0,39.1263920920727,0,1,0,1
107,"backyard","small",11,0,0,7.90551453355123,1,1,1,0
108,"backyard","large",48,1,0,33.2725614551861,1,1,1,1
109,"backyard","small",11,0,0,5.35061496983094,0,0,0,0
110,"backyard","small",14,1,0,7.83755039295441,1,1,0,0
111,"campsite","large",41,0,0,27.7377079699997,1,0,1,0
112,"backyard","large",40,1,0,31.6297489957645,1,1,0,0
113,"backyard","small",13,1,0,7.81481342366702,1,0,0,0
114,"campsite","small",14,0,0,7.98801704854667,1,1,1,0
115,"campsite","small",11,0,0,7.40042428375274,1,1,1,0
116,"campsite","small",10,0,0,10.4232456667567,1,1,0,1
117,"campsite","small",12,0,0,6.36559853210546,1,1,1,0
118,"backyard","large",37,1,0,25.4212049158274,1,1,1,0
119,"campsite","small",10,1,0,7.84420015512518,0,1,1,0
120,"backyard","large",48,0,1,37.7935180904837,1,1,1,0
121,"campsite","large",37,0,0,31.7224873674264,1,0,1,0
122,"backyard","small",8,0,1,4.64764217808324,1,1,1,0
123,"backyard","small",12,0,0,6.73669791254665,1,0,1,1
124,"backyard","small",12,0,0,10.2078106681327,1,1,0,1
125,"campsite","small",9,0,0,6.74675449188714,1,1,1,0
126,"backyard","small",18,1,0,13.3131435308863,0,1,1,0
127,"backyard","large",38,0,0,34.9324818591203,1,1,1,1
128,"backyard","small",14,1,0,10.8331370162496,1,1,1,0
129,"backyard","small",19,0,0,14.8918072215031,1,1,1,1
130,"backyard","small",9,1,1,3.57298729443989,0,1,0,1
131,"beach","small",9,1,0,6.5396550719165,1,1,0,0
132,"backyard","small",7,1,1,4.43860118458066,0,1,1,1
133,"campsite","small",18,1,0,10.5126168675238,1,1,1,0
134,"campsite","small",16,0,1,10.5442993208745,1,1,1,1
135,"backyard","small",12,0,0,8.26143903333674,0,1,1,1
136,"campsite","small",17,1,0,8.58055488278516,0,1,1,0
137,"backyard","large",37,1,0,25.5079147858153,1,1,1,0
138,"campsite","small",12,0,0,7.74136179939348,1,1,0,0
139,"backyard","small",13,0,0,5.13417356186071,1,0,0,1
140,"backyard","small",9,1,0,5.14194599499389,1,1,0,0
141,"campsite","small",12,0,1,7.91773969690683,1,1,0,0
142,"backyard","large",55,1,0,43.8409294752602,1,1,1,0
143,"backyard","small",12,0,1,6.39310238383161,1,0,0,0
144,"backyard","small",15,0,0,7.60589918584438,0,1,1,1
145,"campsite","small",11,1,0,6.85528470428881,1,1,1,0
146,"backyard","large",38,1,1,25.5083470640544,1,1,0,0
147,"backyard","small",11,1,0,8.19114032680175,1,0,1,0
148,"backyard","small",14,1,1,6.3936019390252,1,1,0,0
149,"backyard","small",16,1,0,11.2171206180172,1,1,1,0
150,"backyard","large",34,0,0,24.9497229786806,1,0,1,0
151,"backyard","large",45,1,0,32.5060873672512,0,1,0,1
152,"campsite","small",12,1,0,7.97200965928296,0,1,0,0
153,"backyard","small",14,1,0,10.973655999822,0,1,1,1
154,"campsite","small",11,1,0,6.36941571711244,1,1,0,0
155,"campsite","small",13,1,0,5.84593746954575,0,1,1,0
156,"backyard","small",21,0,0,6.40411038206214,1,1,1,1
157,"backyard","small",9,1,0,5.73075000091655,1,1,0,1
158,"campsite","small",8,1,0,5.43755257438442,1,1,1,0
159,"campsite","large",42,1,0,39.893004938586,1,1,1,0
160,"campsite","small",12,0,0,8.88676564321841,1,1,1,1
161,"beach","small",9,1,0,7.41035177404999,1,1,1,0
162,"beach","small",13,0,1,7.5080711877747,1,1,0,0
163,"backyard","small",11,0,0,10.4582424828407,1,1,0,0
164,"backyard","large",44,1,0,39.8088208783247,0,1,1,0
165,"beach","small",13,0,0,5.05447898093643,1,1,1,0
166,"backyard","small",9,0,0,7.06689089658527,0,0,1,0
167,"campsite","small",9,0,0,5.41282045350131,1,1,1,1
168,"backyard","small",10,1,0,6.37728733751043,1,1,1,0
169,"backyard","small",8,0,1,4.01953988686072,1,1,1,1
170,"backyard","small",13,0,0,8.32645329238197,1,1,1,1
171,"campsite","small",12,1,1,7.08674903771777,1,1,0,0
172,"backyard","large",37,0,1,36.0186263943812,1,1,1,1
173,"backyard","small",14,1,0,10.0617785836577,1,0,0,0
174,"campsite","large",41,1,0,32.6640628476292,0,0,1,0
175,"campsite","small",9,1,0,4.81735002588372,1,1,1,0
176,"campsite","large",40,0,0,26.9536249377337,1,1,0,0
177,"backyard","large",35,1,0,19.6969543943949,1,1,0,1
178,"campsite","small",10,1,0,7.99217979266213,1,1,0,0
179,"backyard","small",13,1,0,10.8096835785677,1,1,1,1
180,"backyard","small",10,1,0,4.26862717797855,1,1,1,0
181,"backyard","small",12,0,0,9.06978493751607,0,1,1,1
182,"backyard","small",16,1,0,12.77236378364,0,1,0,0
183,"campsite","small",13,1,0,10.9273603262024,1,1,1,0
184,"campsite","large",37,0,0,28.741614671831,1,1,0,1
185,"backyard","small",13,0,0,6.63324244749815,1,1,0,0
186,"backyard","small",11,0,1,8.08679463875322,1,1,1,0
187,"campsite","small",8,0,0,5.08274688783349,1,1,0,0
188,"backyard","small",11,0,0,7.69855190813243,1,1,1,0
189,"backyard","small",11,1,1,8.20406920298112,0,0,0,0
190,"campsite","large",44,1,0,39.9281353682698,1,1,1,0
191,"campsite","small",13,1,1,9.44246551191132,1,1,0,0
192,"backyard","small",16,0,0,9.43148513679623,0,1,0,0
193,"campsite","small",12,1,0,5.73853946543576,1,1,1,0
194,"campsite","small",8,1,0,4.99347860496037,1,1,0,0
195,"campsite","large",42,0,1,41.0421595423664,1,1,1,0
196,"beach","small",13,1,0,9.23010307139319,1,1,1,0
197,"backyard","small",13,1,0,7.70871052640723,1,1,1,0
198,"backyard","small",10,0,0,6.77058501241543,1,1,1,0
199,"campsite","small",6,0,0,3.31087390468495,0,1,0,1
200,"campsite","large",38,1,0,24.2485717187918,1,1,1,1
201,"backyard","large",44,1,0,33.2653749211903,1,1,0,1
202,"backyard","small",12,0,0,10.7566022056307,1,1,1,0
203,"backyard","small",11,0,0,7.91508288746519,1,1,1,1
204,"campsite","small",10,1,0,5.00977099704306,1,1,1,1
205,"backyard","small",10,0,0,6.70715416045656,1,1,0,1
206,"beach","small",7,0,0,6.3808289894837,1,1,0,1
207,"backyard","large",39,1,0,32.8599059974603,1,1,1,0
208,"backyard","small",14,1,1,5.44943804856718,0,1,0,0
209,"backyard","small",12,0,0,8.63498692086119,1,0,0,0
210,"backyard","large",34,0,0,24.8460524823162,1,1,1,0
211,"backyard","small",13,1,0,9.73578877436244,1,1,1,0
212,"backyard","small",9,1,0,9.34255853201061,1,1,1,0
213,"backyard","small",7,0,0,3.54205764867955,1,1,1,0
214,"backyard","small",19,1,0,11.5244675272624,1,1,1,0
215,"backyard","small",9,0,0,7.40255078641983,1,1,1,0
216,"backyard","small",11,0,0,4.94075570126549,1,1,0,1
217,"campsite","small",10,1,0,5.53512808013377,1,1,1,0
218,"campsite","small",12,0,0,5.83653085651016,1,1,1,0
219,"backyard","small",8,1,0,4.78163495950421,1,1,1,0
220,"backyard","large",38,0,1,27.0425897939915,1,1,1,0
221,"backyard","small",13,0,0,8.65011477007147,0,1,0,0
222,"campsite","small",13,1,0,8.74587977994545,1,1,1,0
223,"backyard","small",5,0,0,3.56320911854795,1,1,1,0
224,"campsite","small",19,0,0,8.10237531314622,1,1,0,0
225,"backyard","small",15,1,0,10.4036810917313,1,1,0,0
226,"backyard","small",11,0,0,10.2688308754445,1,1,1,0
227,"backyard","large",43,0,0,28.1577459613079,1,1,1,0
228,"campsite","small",8,0,1,4.14049866814107,0,1,1,0
229,"backyard","large",38,1,0,28.8681684115648,1,1,0,1
230,"beach","small",14,1,0,8.13152495945135,1,1,0,1
231,"backyard","small",12,1,0,9.55000138380044,1,1,1,1
232,"beach","small",9,1,0,4.23703235806356,0,1,1,0
233,"backyard","small",10,1,1,6.46709557897472,1,1,1,0
234,"backyard","small",8,1,0,5.29179931214648,1,1,1,1
235,"backyard","small",12,0,0,6.46270268194505,1,1,1,0
236,"campsite","small",9,0,1,5.75484472556617,1,1,1,0
237,"backyard","large",56,0,1,40.8173806191528,1,1,1,0
238,"backyard","small",7,0,0,4.15245196025108,1,1,0,0
239,"backyard","small",11,0,0,5.11952812143917,1,1,0,0
240,"backyard","small",12,0,0,7.31955345618483,1,1,0,0
241,"backyard","small",11,0,0,8.73043611544242,1,1,1,0
242,"backyard","small",10,1,0,5.96786373397306,1,1,1,1
243,"backyard","small",5,0,0,4.23162958244532,0,0,1,0
244,"beach","small",7,0,0,5.12792703593145,0,1,0,0
245,"backyard","small",11,0,0,7.81218092868508,1,1,0,0
246,"backyard","small",14,0,0,9.41435039318938,1,1,1,0
247,"backyard","small",16,1,0,10.5795016333756,1,0,1,0
248,"backyard","large",48,0,0,46.0458555518846,1,1,1,0
249,"backyard","small",11,0,0,6.11198570792563,1,1,0,1
250,"campsite","large",49,0,1,38.8822274067249,1,1,0,0
251,"backyard","small",9,1,0,5.24765611548547,1,1,1,1
252,"campsite","small",14,0,0,9.04065210415053,1,1,0,0
253,"backyard","large",53,0,0,30.0735822445822,1,1,1,0
254,"campsite","small",13,1,0,7.77099470807982,1,0,0,0
255,"backyard","small",14,1,0,6.88868080735407,1,1,1,0
256,"beach","small",12,0,0,6.92522143671816,1,1,1,0
257,"campsite","large",34,1,1,29.9078604766753,1,1,0,0
258,"campsite","small",9,0,0,4.42653589850244,0,1,1,0
259,"beach","large",46,0,0,23.7173586871301,1,1,1,0
260,"beach","small",10,1,0,5.01155130711486,1,1,1,0
261,"backyard","large",52,0,0,39.5067963162545,0,1,0,0
262,"beach","small",15,1,1,8.39708437984092,1,1,0,0
263,"beach","small",9,0,0,4.80073303184906,1,1,0,0
264,"backyard","small",10,1,0,8.002100592511,1,0,1,0
265,"backyard","small",11,0,0,5.53040686396772,1,1,1,1
266,"campsite","small",11,0,0,9.44835584652544,0,1,0,0
267,"backyard","large",45,1,0,34.9047175587106,1,1,1,1
268,"campsite","small",11,0,0,8.14547157212396,1,1,1,1
269,"backyard","large",47,1,1,38.3946679817114,0,1,0,0
270,"backyard","large",51,0,0,43.1828817289154,1,1,1,0
271,"campsite","small",10,1,0,4.18979563381241,0,1,0,0
272,"backyard","small",11,1,0,6.78228712935572,1,1,1,0
273,"campsite","small",18,1,0,11.7971746661379,1,1,1,0
274,"backyard","small",20,0,0,11.7494316962779,1,1,1,1
275,"campsite","large",46,1,1,27.6715681553137,1,1,0,1
276,"campsite","small",11,1,0,6.06015733393519,1,0,1,0
277,"backyard","small",12,1,0,8.47481576049133,1,1,1,0
278,"campsite","small",15,1,0,7.27418777712823,1,1,1,0
279,"backyard","small",12,1,1,7.92450081932245,1,1,1,0
280,"backyard","small",19,0,1,8.89389274551942,1,0,1,0
281,"backyard","large",45,1,0,30.7291633278887,0,1,1,0
282,"backyard","small",13,1,0,6.34444110136431,1,0,1,0
283,"backyard","small",20,0,0,12.6839755788379,0,1,1,1
284,"campsite","small",8,0,1,5.61016156725751,1,1,1,0
285,"backyard","small",16,0,0,8.44709106247396,0,1,0,1
286,"backyard","small",15,0,0,10.4147544493788,0,1,0,0
287,"backyard","small",11,1,0,4.97886617102463,1,1,0,0
288,"backyard","small",13,0,0,8.70047067214634,1,1,1,0
289,"campsite","small",11,0,0,8.26331795674788,1,1,0,1
290,"backyard","large",37,1,0,30.9217092837476,1,1,0,1
291,"backyard","small",12,1,0,10.4440408666069,1,1,1,0
292,"campsite","small",12,1,0,7.97745133693974,0,1,1,0
293,"campsite","small",9,1,0,6.08424747108181,1,0,1,1
294,"campsite","large",34,0,0,25.731070979891,1,1,1,1
295,"campsite","large",47,0,1,35.5649209355918,1,1,1,1
296,"backyard","small",10,1,0,6.10476053349196,1,1,0,0
297,"backyard","large",37,0,1,31.6742186289705,1,1,0,1
298,"campsite","small",7,1,0,3.7460820886368,1,1,1,0
299,"backyard","small",19,1,0,12.4616175889068,1,1,1,1
300,"backyard","large",44,1,0,30.3788803682086,1,1,1,0
301,"backyard","large",49,1,0,41.7283793303426,1,1,1,0
302,"beach","small",11,1,0,9.43229959766441,1,1,0,0
303,"backyard","small",14,1,0,7.35918545908708,1,1,0,0
304,"backyard","large",51,1,0,36.8852092808665,1,1,1,0
305,"backyard","large",42,1,0,32.86199473492,1,1,0,0
306,"campsite","small",12,0,0,6.86853495277842,1,1,1,1
307,"campsite","small",17,0,0,9.9831845008927,1,1,1,0
308,"backyard","small",12,0,0,7.15628579910325,1,1,0,0
309,"campsite","large",41,0,0,22.9423830179507,1,1,1,0
310,"beach","small",6,1,1,4.0464872978242,1,1,1,0
311,"campsite","large",36,1,0,25.1697744292242,1,1,0,0
312,"campsite","small",9,1,0,6.40887585697121,0,1,0,0
313,"backyard","large",42,1,0,35.7035209285596,1,1,0,0
314,"backyard","small",12,1,0,3.7770358161718,1,1,0,0
315,"backyard","small",9,1,0,7.42364224234004,0,1,1,1
316,"backyard","small",11,0,0,6.1888568682598,1,1,1,0
317,"campsite","small",15,0,0,8.94106180352855,1,1,1,0
318,"campsite","large",40,1,1,28.2556598044686,1,1,1,0
319,"campsite","small",11,1,0,8.78112411024603,1,1,1,1
320,"backyard","small",12,1,0,5.86864304834669,1,1,1,0
321,"backyard","small",10,0,0,3.93688371938382,0,1,1,1
322,"beach","small",11,0,0,5.56886264411662,1,1,0,0
323,"backyard","small",11,0,0,5.30752941600774,1,1,0,0
324,"backyard","large",51,1,1,46.9681889052821,1,1,0,0
325,"backyard","small",15,0,0,9.50689315461617,1,1,1,0
326,"backyard","small",13,0,0,8.12005885554225,1,1,0,0
327,"campsite","small",14,0,0,6.7844549920013,1,1,0,0
328,"backyard","small",15,1,0,12.2825488140381,1,1,0,0
329,"campsite","small",10,0,1,3.8347571454424,1,0,0,0
330,"campsite","small",12,0,0,12.7738722419484,1,1,1,1
331,"backyard","large",41,1,0,31.1419226204747,0,1,1,0
332,"backyard","small",12,0,0,8.23096685820498,1,1,1,0
333,"backyard","large",33,0,0,24.1441088669432,1,1,0,0
334,"campsite","small",11,1,0,8.40473386449369,1,1,0,0
335,"backyard","small",10,0,0,5.99481015540921,1,1,0,0
336,"campsite","small",13,1,0,7.06714170172018,1,1,1,0
337,"backyard","small",18,1,0,17.1009133330555,1,1,1,1
338,"backyard","small",7,1,0,5.36041347479808,0,1,1,0
339,"backyard","small",8,0,0,4.60443373873764,0,1,0,0
340,"backyard","small",12,0,0,8.11953036708947,1,1,0,0
341,"backyard","large",51,1,1,34.1581591111586,1,1,0,0
342,"backyard","small",10,0,0,7.75284466624319,1,1,1,0
343,"campsite","large",52,1,0,38.0275793517542,1,1,0,0
344,"backyard","large",41,1,0,30.7234470523086,1,1,1,1
345,"campsite","small",15,1,0,11.3507699472192,0,1,1,0
346,"backyard","large",45,0,0,27.330880034941,1,1,1,0
347,"backyard","small",9,1,1,5.37709685713786,0,1,1,0
348,"backyard","small",12,0,0,9.46639980962536,0,1,1,0
349,"backyard","small",10,0,0,3.99947532402247,1,0,1,1
350,"campsite","small",9,1,0,5.37623097365109,1,1,0,0
351,"backyard","small",11,0,1,7.5289842345762,1,1,0,1
352,"beach","small",9,0,0,5.62919693285482,1,1,1,0
353,"campsite","small",16,1,1,10.568388235162,1,1,0,1
354,"campsite","small",21,0,0,6.9645475669117,1,1,1,0
355,"backyard","large",46,1,0,39.8742696713775,0,1,1,1
356,"backyard","small",18,0,0,7.07462786702455,1,1,0,0
357,"backyard","small",11,0,0,5.99429585876407,0,1,0,0
358,"campsite","small",15,0,0,6.07179869087999,1,1,1,0
359,"backyard","small",14,1,1,12.2461569853726,1,1,0,1
360,"backyard","small",15,1,0,7.67276906748137,1,1,1,0
361,"backyard","small",14,0,0,11.1539319330161,1,1,1,0
362,"beach","small",8,1,0,5.21115301480152,1,1,1,0
363,"backyard","small",12,1,0,8.72677181819058,1,1,1,1
364,"campsite","large",43,0,0,34.69833803087,1,1,1,0
365,"campsite","small",11,1,0,5.93289103857336,1,1,1,0
366,"beach","small",17,1,0,9.07931025442026,1,1,1,0
367,"backyard","small",14,0,0,10.1688120942262,1,1,0,0
368,"backyard","small",10,0,1,6.08723690731714,0,1,1,0
369,"beach","large",31,1,0,24.8679310423363,0,1,1,1
370,"backyard","small",10,0,0,6.47384791716541,1,1,1,0
371,"backyard","small",16,0,0,9.77043320930743,1,1,1,1
372,"campsite","small",13,1,1,6.32989004167934,1,1,0,0
373,"backyard","small",15,0,0,10.0163856504128,0,1,1,0
374,"campsite","small",13,1,0,7.60190497884941,1,1,1,0
375,"backyard","small",12,0,1,7.67899233875648,1,1,0,0
376,"campsite","small",15,1,0,7.11828625732268,1,1,1,0
377,"backyard","small",7,1,0,5.30728756406126,1,1,1,0
378,"beach","small",11,0,0,7.39431348333871,1,1,1,1
379,"backyard","large",30,0,1,18.8943975065064,1,1,1,0
380,"campsite","small",12,1,0,8.03855639677625,1,1,1,0
381,"backyard","small",13,1,0,8.94658485808193,1,1,0,0
382,"campsite","small",15,0,0,11.3632461280106,0,1,1,0
383,"backyard","small",11,1,0,5.95028152490573,1,0,1,0
384,"backyard","small",12,1,0,10.5860206662565,1,1,1,0
385,"backyard","small",12,0,0,7.91623808645614,1,1,1,0
386,"beach","small",11,0,0,6.74965907376819,1,1,0,0
387,"beach","small",10,0,0,6.71786087357834,0,1,1,0
388,"beach","small",15,0,1,10.8547882644058,1,0,0,1
389,"campsite","small",10,1,0,5.38934472545856,1,1,1,0
390,"backyard","small",12,1,0,7.69346637804009,1,1,1,1
391,"backyard","large",42,0,0,37.0400973246271,0,1,0,0
392,"beach","small",13,1,0,6.87963183350045,1,1,0,0
393,"backyard","small",11,1,0,4.13014132579909,1,1,0,0
394,"backyard","small",8,0,0,5.44217279153286,0,1,1,0
395,"campsite","small",15,1,0,9.51237490533463,1,1,1,0
396,"backyard","small",12,1,0,7.61125821297324,1,1,0,0
397,"backyard","large",47,0,0,31.4460467875503,0,1,0,0
398,"backyard","small",10,1,0,4.37674535553825,1,1,0,1
399,"backyard","large",39,0,1,21.5890176447207,0,0,1,0
400,"backyard","small",12,0,1,8.08109669935153,1,1,1,0
401,"beach","small",16,1,1,9.16709799473217,1,1,1,0
402,"backyard","small",11,1,0,8.10670039438126,1,1,1,0
403,"beach","large",33,0,0,26.8635032707902,1,1,1,0
404,"backyard","small",5,1,0,2.60399422299211,1,1,0,1
405,"backyard","small",15,0,1,11.4089896716718,0,1,1,0
406,"beach","small",15,1,0,7.98257351517693,1,1,1,0
407,"backyard","small",10,0,0,6.65179576224177,1,1,1,0
408,"campsite","large",32,0,0,27.993330669641,0,1,0,1
409,"backyard","small",10,1,0,8.45208046263154,1,1,1,0
410,"backyard","small",15,1,0,10.4438760744536,1,1,1,1
411,"campsite","small",9,1,1,5.41218654397285,1,1,0,0
412,"backyard","small",12,0,0,6.14399877354033,1,1,0,0
413,"backyard","small",8,1,0,6.07624465130028,1,1,1,0
414,"backyard","small",12,1,0,11.5124533783164,1,1,1,0
415,"backyard","large",41,0,0,30.8345498477299,1,1,1,0
416,"campsite","small",13,1,0,9.881664463267,1,1,0,0
417,"campsite","large",37,1,1,22.2714567307086,1,1,1,1
418,"backyard","small",14,0,1,9.77716789560116,1,1,1,0
419,"backyard","small",7,0,0,3.37720352913475,1,1,0,0
420,"backyard","small",11,1,0,10.709646756174,1,1,0,0
421,"campsite","small",11,0,0,8.61718583166483,1,1,1,0
422,"backyard","large",39,1,0,31.8331669092565,1,1,1,0
423,"backyard","small",7,0,0,5.32113979173938,1,1,0,1
424,"beach","small",10,1,0,5.87513918818978,1,1,1,0
425,"campsite","small",10,1,0,3.71171051511646,1,1,0,0
426,"backyard","small",10,1,1,5.02430371505183,1,1,0,1
427,"backyard","small",9,0,0,4.54817865875905,1,1,1,1
428,"backyard","small",12,1,1,9.50592954278536,1,0,1,1
429,"backyard","large",70,1,0,40.7831211169538,1,1,1,0
430,"backyard","small",10,1,0,5.78589709743662,1,1,1,0
431,"backyard","small",18,0,0,8.058355281623,0,1,1,1
432,"backyard","small",8,1,0,4.0747661232447,1,1,0,0
433,"backyard","small",13,0,0,3.64581083729741,0,1,1,0
434,"backyard","large",41,0,0,30.3728068926905,1,1,0,0
435,"campsite","small",16,1,1,8.87341860655013,0,1,1,0
436,"backyard","small",11,1,0,8.47061602953106,1,1,1,0
437,"campsite","large",56,0,1,35.5585987674533,1,1,1,0
438,"backyard","small",13,1,1,7.03089673053551,1,1,1,0
439,"backyard","small",8,0,0,5.28732406401387,1,1,1,1
440,"backyard","small",10,0,0,8.06090431857295,1,0,1,0
441,"campsite","large",48,1,0,40.6719040301735,1,1,1,0
442,"backyard","small",10,0,0,7.4435044731452,1,1,1,0
443,"beach","large",39,1,0,24.5273652846208,1,1,0,1
444,"campsite","large",49,0,0,48.3737446910466,1,1,0,0
445,"campsite","small",12,0,1,7.60087131184074,1,1,1,0
446,"backyard","small",12,1,0,7.58180163997613,0,1,1,0
447,"backyard","small",15,0,0,6.95050334426983,0,0,1,1
448,"backyard","small",11,0,0,9.28387599170734,0,1,1,0
449,"backyard","small",4,0,0,2.11667669084675,0,1,1,1
450,"backyard","large",50,0,0,39.9377457048436,0,1,0,0
